,summary,review,rating
101,"Decent coffee, but ridiculously priced for not fresh coffee","I mean this stuff was roasted how long ago? A far lesser coffee roasted a couple of days ago is going to taste a whole lot better. At $50 per pound, what you're tasting is justification for spending the money. What you should do, if you have the money for this sort of coffee, is buy a coffee roaster and start getting good green beans (including Jamaican Blue Mountain) and roasting them fresh yourself. The folks at Sweet Maria's have all the info you need to get started.",3.0
102,Not worth it for the money,"First a little background on me. I Am a coffee drinking fiend. I probably keep several countries coffee production up, so I know coffee. I don't mind strong coffee or so so tasting coffee I just dont expect it to be expensive so so tasting coffee. I have had and love Jamaican Blue mountain coffee before but it was a lot more expensive than this. This came in a cute little burlap sack (you get some style points there) but after that it's pretty much down hill. The coffe is not the normal rich tasting wonderfull smelling JBM I have had before, it just tastes like every other coffee albeit at an extravagent price. I have ordered some more Blue mountain from another supplier will have to see how that goes. This is one that will not get any repeat business from me. There are plenty of other better tasting coffees out there at a lower price.",3.0
105,Great purchase,"I have been intrigued by the pour over coffee makers. We have a Bunn automatic that uses pour over and it produces a good cup of coffee, but I DH likes his coffee strong and thus the coffee is usually a bit bitter for my taste.  I usually stick to tea. Everything I have read says the manual pour over produces a strong but smoother coffee.I priced out various pour over cones and carafes, but the priced seemed high when we didn't even know if we would like it. I saw this Melitta at a great add on price($9 @ my purchase). It seemed perfect for a starter set. The cost was less than some of the other brands paper filters. The set includes the cone filter, the carafe, a lid and 5 paper filters- everything you need to try it out. I considered getting the larger one, but another reviewer noted that the coffee does not stay warm long and figured we would be better off with a size we could drink quickly.  While I was looking for a non-plastic cone, this is BPA free. The carafe is made in Germany, the cone top is made in Canada.Now to the coffee... It is fantastic!  I use the espresso grind that DH uses in the Bunn.  The coffee is just as strong without the bitterness. It doesn't seem to take any more time. I use the Hario kettle on our induction stove so boiling water takes no time. Then, the pour over is almost zen like. I mainly use this on my late mornings and on weekends. We may eventually upgrade to ceramic cone, but this suits our needs at present.",5.0
119,Really vibrant colors for just a little dye,"Yeah, this dye is tasteless as advertised!  I know there are already a million 5 star reviews but I thought I would join the chorus anyways. The dyes here are really vibrant and most importantly tasteless. This allows you to make really beautiful fondant cakes.  I literally put like 1 drop of this dye gel in about a 4"" ball of fondant and it came out the shade I wanted. The colors are pretty much full spectrum of the rainbow plus black. You can mix and match if you want to get more colors. I found it very easy to use. There are instructions on the box. I paired this with purchased fondant and made a very lovely orange, red, and black Halloween themed cake. I can't wait to use these again. For the price of less than $11, I feel like I got a good deal.",5.0
122,"A bit pricey, but cool if you're into cake decorating.","A bit pricey, but a little goes a long way.  And the colors provided can be combined to make any color your little heart desires.  Cool if you're into cake decorating.",4.0
134,Ingredients are unhealthy,"No way would I put the vast majority of the ingredients in these 'spice'  packs in my body..  As you know the list of the amount of anything in a product starts with the item it contains the most of and then the next most etc.  Try this for heart healthy,: Dextrose, sugar,salt,spices (doesn't say which ones) hickory smoke flavor, MSG, hyrolyzed soy protein, dehydrated onion,  dehydrated garlic,less than 2% of caramel color (what the heck for??), silicon dioxide and calcium silicate (anti-caking).  Then they list Cure ingredients:- salt (like they need more) and sodium nitrite (0.62^).As far as I'm concerned, this product should either come with a warning that it's not heart healthy or be taken off the market entirely.  I'm sure I can come up with practically the same taste without adding the junk.  Don't know if it's worth bothering to send back but I sure won't be using it.",2.0
146,Cinnamon Licorice powder,"this stuff is a poor example of an authentic 5-spice powder which I paid $1.5 for 4oz locally, despite the fact that other Dynasty products are useful such as their Satay sauce.  I live walking distance to Flushing Queens, and have a good idea what it's supposed to taste like from authentic Asian cooking sold nearby. If you want to go cheap off Amazon, you are better off withFrontier Five Spice Powder, 1.92-Ounce Bottle.  BTW ""star anise"" or ""aniseed"" is already a licorice flavor, so to add even more licorice to this bottle was foolish.",2.0
149,Fabulous,I tried to find this spice and was unsuccessful. It is a great spice that I use not only in making Asian recipes but in many other dishes as well. I find it to be very versatile and an asset to my spice cupboard.,5.0
150,Strong licorice flavor,"This was ok - a bit strong on the licorice, so it is not the best that I have had.",3.0
153,never bought this,"never bought this so i cannot give a review at this timeso please stop asking me to review this item i ckeck mypantry and this is not in it,thank",3.0
156,MY FAULT - I DIDN'T REALIZE HOW MUCH 1 oz REALLY WAS - THE PICTURE FOOLED ME,"I was aboslutely shocked to see how much 1 oz really was. At $7.60, I mistakenly assumed it would be a decent sized can. As locally I am able to buy a medium sized tube of wasabi paste for around $3, but never used it fast enough so it would get old. I figured a powder would be better, so I can mix it as I needed it. When I opened the box and dug thru the packing and saw this little little can, I started looking for the hidden cameras ...  thought this HAD to be a joke. Nope .. and it's NOT returnable either. SO I HAVE LEARNED MY LESSON. Please just be aware if you should decide you want this EXPENSIVE wasabi powder.",2.0
157,Little Kick,I wish this had a lot more kick in it.  Flavor is ok.  Still trying to figure out what I should use it on.,3.0
158,kitchen supplies,I like HOT spices - so this is so I have - whan I want / need it - for that &#34;right taste&#34; !,3.0
162,Not good,"unsure if I just got a bad batch or what...the flavor has been bland and never builds to the expected pop of wasabi...followed the directions exactly, but just didn't get the results I was hoping for",1.0
163,Regularity,"I've used this product for years - not for 'dieting'; but for morning regularity.  I enjoy a cup of tea each night before bedtime, and am assured of daily 'relief'...  (lol).  I prefer the Apricot flavor;  but other flavor choices are available - depending on one's preference.  Purchasing thru Amazon has always been more cost-worthy, and shipping always prompt.",5.0
166,Painful cramps with this......,"Mother and I started drinking this back in the 1980's.  I stopped because it was causing me too much pain, slightly worse than menstrual cramps.  The herbs in this tea are strong.  I think I read somewhere where the Senna in this stimulates the bowels to contract.  This isn't really a weight loss product but more a laxative.",2.0
167,Love this tea!,This tea is excellent with a little vanilla stevia. Most effective if you take @ bedtime.. let bag soak for 10 minutes to get the most out of derinking it.,5.0
168,We lovingly call it poopy tea,This is a real aid to getting unstuck if you get my drift and we keep reordering time after time,5.0
169,Not up to expectations,English Breakfast tea is my go to morning drink.  It's smooth and subtle while providing the early caffeine boost.  Tazo's Awake version is sort of a letdown.  It doesn't taste as full as some of the other brands.  Not much different in taste and affect than a bulk store black tea.  I also got Tazo's earl grey which was better.  Overall not a bad experience but ill stick with more traditional brands for my black teas.,3.0
170,A Major Disappointment,"With its new-look packaging, Tazo also reformulated the Awake tea blend. The old blend was strong, robust, and biting. It was by far my favorite bagged black tea. The new blend is weaker and maltier; it is sadly reminiscent of standard Lipton tea. If I want Lipton tea, I'll buy Lipton tea; it's a lot cheaper than Tazo.I know that many people found the old blend to be too bitter. Tazo apparently decided that they'd gain more customers than they'd lose if they toned down the flavor. I don't know if they're right, but they've definitely lost me.",2.0
174,Flavorless and not that strong,"This brand of tea felt stronger in the past. Now it feels more ordinary.Relative to other teas I have consumed, this one has no flavor whatsoever. It is not even Organic, but that's okay as it was never advertised as such.I will not be buying it again.",2.0
177,Cinnamon & Ginger Tea,"Tazo Chai Organic Spiced Black Tea is a blend of black tea, ginger, cinnamon, black pepper, cardamom, cloves and star anise. These items are all organically grown and this creates a sense of purity and clarity of thought.The tea has a delicious rich flavor and is perfectly blended for an ultimate Chai experience. Delicious when you add a packet of Stevia and a swirling of orange blossom honey. Milk powder makes this richer and a dash of cream makes it luxurious.While drinking this tea you are transported to India where Chai wallahs sooth your soul with a cup of spicy tea. Each cup of Tazo tea is an adventure and this tea is especially delicious.~The Rebecca Review",5.0
183,"Not for everyone, especially me.","The product description says that this tea is 'slightly sweet' as well as a bunch of other descriptors, but I didn't get any sweetness at all. I was very optimistic because I normally love everything Tazo offers, but this time I had my hopes dashed.I brewed up a mug of this tea and was immediately alarmed at the bouquet. The teabag smelled different, but once the hot water hit it the smell seemed to really magnify. But I scooped in a few teaspoons of sugar and hoped for the best. I managed to choke down about a third of the cup before I called it a day. Life is too short to drink something you don't like.However, I had read a review that mentioned how good and palatable this tea was when combined with the Tazo Lotus. I figured it was worth a shot, otherwise I'd have to throw out this tea altogether.The Lotus smelled great, so I was excited. I blended the two bags (one Lotus and one Wild Sweet Orange) in a large mug, then removed the Wild Sweet Orange after a minute. I left the Lotus in for another minute or two (yeah, definitely two).The result was a very unusual, but not unappealing, beverage. Would I drink this more than once a day? No. Was it very interesting and something that I'll try again? Yes.Live and learn, I guess.",2.0
186,Where is the sweetness?,"Although it's called 'Wild Sweet Orange' I have yet to taste the sweetness. For the most part, it seems very tart to me. It's still a decent hot tea (and I bet it'd make a good iced tea too) but this really wasn't what I had expected.",3.0
189,My all-time favorite tea,"It's wintertime and there's nothing better than a hot cup of tea on a cold winter's day.  Tazo's ""Wild Sweet Orange"" has been a favorite tea of mine for almost 10 years now. I first got a sip of Tazo when we lived in Portland, OR and I learned from the natives that a hot cup of tea from a local vendor was better than a pair of gloves to keep you warm. I still love ""Wild Sweet Orange"" especially with just a hint of cinnamon to pick up the flavor.",5.0
191,A rather unusual tea experience.,"I got two bags of this tea in a Tazo tea sampler box.Brewing it, it smells pretty intense. Drinking it, it tastes pretty intense. A very strong sour citrus flavor, coupled with an inexplicable slightly gelatinous texture. After a few sips I decided that I did not care for it as it was, and added some powdered non-dairy creamer to the mix, to see if that improved anything.The creamer did not dissolve well in the tea, but rather, it coagulated into little clumps, making the already-odd texture of the tea even more odd, and not improving the flavor in any significant way.Perhaps the moral of the story is that I do not like orange-flavored tea, but I found this particular orange tea to be unpleasant beyond my expectations.",2.0
193,An absolutely delicious and full-bodied tea.,"I'm not a tea expert, but I know what I like, and this is it. This is a flavored black tea with notes of citrus and vanilla, a bit like panettone cake or King Arthur's ""fiore di sicilia"" flavoring. It's a bit similar to Earl Grey but without that resinous aftertaste and more of a vanilla undertone. Just in the canister, the tea smells perfumed and perhaps overly-flavored, but brewed, the taste of the tea itself becomes more prominent, making a dark, rich, full-bodied brew with an enchantingly subtle flavor profile. It takes a bit of milk handily without turning weak and watery, and re-brews nicely (though re-brews don't take milk as well). It chills well; I prefer it plain when it's cold. It tastes delicious with breakfast and also at any time of the day. Its ability to re-brew makes it more economical a choice, too.As black flavored teas go, this one's a keeper for me. I will definitely purchase it again and I recommend it heartily to tea drinkers.",5.0
213,FLAVOR DOESN'T LAST AS LONG...,AFTER CHEWING FOR SOME TIME THE GUM GETS STALE AND I HAVE TO CHANGE IT SHORTLY. OR MAYBE I JUST CHEW TOO FAST LOL NOT BAD FOR THE PRICE THOUGH. IT WAS AN ADD-ON ITEM.,3.0
216,Good price,Great for the car. Use in the office.Taste was fresh not stale./ Will order more when out due to the great price.,5.0
217,Why is the picture showing the 24 pack?????,"Misleading.  The reason this is cheaper than the other flavors is that this is a 12 pack, whereas the others are all 24 packs for around $21.  Beware of misleading listings.Also, the cinnamint is probably the weakest flavor.  Even fresh packs (I can tell because of the dates of promotions on the package they sometimes run) can sometimes taste stale.  This is because the flavor of the cinnamint lasts just a few minutes.  Tasting all flavors, the peppermint by far outlasts this flavor and most of the others.  I highly recommend that flavor for a nice breath refresher between brushings or just after meals.Orbit Peppermint Sugarfree Gum, 14-Piece Packs (Pack of 24)",1.0
218,Good,"It tastes good when chewing it but the flavor does not last long enough.  Other brands hold their flavor, this type after you chew it for a few minutes, the flavor vanishes away.",3.0
220,Love!,"Came right on time. By far my favorite gum that ORBIT carries! I don't need any of this tropical banana split nonsense! Straight up Spearmint will do the trick for me!It is a TINY BIT over priced... as I can get it at a store here for $10.99 a box... but hey, I love this gum so much that it doesn't bother me I paid an extra dollar per each box!",4.0
223,"Tastes great, texture sucks","I really like the cinnamon flavor of the gum, but that's about where the pros end. The gum was hard from the start, and I don't know if this is because it's too old or what. I don't mean like rock hard, but it's just too tough. The flavor lasts for maybe 10-15 minutes or so, so not great on that end either. It's just OK.",3.0
230,"Very tasty, long lasting and freshens your breath",I have been buying these from Amazon forever.  Very tasty and the sweetness lasts a long time.  It's also good after a meal as it helps freshen your breath and get the food out of your teeth.  But be very careful around your dogs as the sweetener in these is poisonous to dogs and perhaps other animals.,5.0
235,Is this a warehouse clearance item?,"The gum is hard unlike fresh stock available at local markets.This caveat is a bit weird:  &#34;Don't include promotional content of any kind or reviews written in exchange for compensation&#34;So, I have to wonder if any of the initial reviews of a product are honest or goosed up for a payoff.",3.0
240,"Misleading description, but nice plant.","The first tree I ordered was badly scarred by wires.  The company replaced it quickly with a very nice tree that had a great shape.  The ficus is great if you have little natural light.  My apartment is very dark and the tree did fine off of the artificial light.  That said, this is NOT a tree for beginners.  Ficus are notoriously finicky.  They like regular water and the same light conditions day after day.  Each time you vary the routiine significantly, it will drop all of its leaves.  Moreover, this plant was hard to water.  The pot doesn't have enough room for the water to soak in, so I had to use a spray bottle and lots of patience.  It needs to be watered daily.In short: good choice if you just don't have any good light, bad, bad choice for a first Bonsai or if you are forgetful or travel.",3.0
241,bugs all over it,"I received the tree today, and when i got it out of the package it had small bugs crawling around everywhere...I decided to go to my local nursury and i found some bonsai tree's that looked better and were alot cheaper.",2.0
256,Simply,This brand is a favorite of mine. Good quality almond extract. Great price. The bottle showed up in perfect condition as well.,5.0
259,Love!,This is the most incredible almond extract I've ever purchased! I put it in everything including my coffee to make chemical free almond coffee...a much better alternative than Dunkin!,5.0
265,The Only One I Avoid.,"Well, I guess I'm the fly in this reviewer ointment, but Dave's is the only hotsauce that I won't buy. It has a synthetic quality to it and a flavor that is almost non-existent. This is due to its being made directly from capsaicin extract as opposed to actual peppers. It offers a nuclear level of heat that seems to be a recipe for ulcers in my opinion. According to Wikipedia, its Scoville heat (fire) index rates out 50,000 units which can be contrasted with Tobasco's 2,500 to 5,000 rating. Who needs that much heat? Not me or most human beings. This stuff is lethal. No thanks.",1.0
270,"Unpleasant Heat, and No Flavor","O.k., I'm going to offer a counterpoint to all the positive reviews.  I did not like this hot sauce, and I like hot sauce!  This may be good in chili (and I will try it there as soon as I get a chance), but it is not a general hot sauce for your eggs, soup, sandwiches, whatever.It is very thick and has the consistency of tomato paste.  The heat is derived from peppers and ""pepper extracts"" (read: capsaicin).If you want flavorful heat you can use everywhere, try somewhere else.  I recommend Melinda's Naga Jolokia for one.",1.0
273,One drop only,"Someone sitting next to me at a tacqueria doused their taco with this stuff, just like regular piquante, took a bite, and then paid the price for the next twenty minutes.  Learning from his misfortune, I took a few tinefulls (on the tip of a fork) on my taco . . . not even a full drop as recommended.  Just the perfect amount.  Two hours later, I still feel a nice lingering heat.As for flavor, I think serranos have a better flavor, but this wasn't bad.  I definitely would put a very very small on any food where I wanted that perfect amount of ""burn"".You also may notice that only people from Texas and California have written reviews.  This sauce really is for people who grew up eating Mexican and Southwestern food.  I don't know if a New Yorker or someone from the Mid West would enjoy this stuff.",4.0
275,"Hot, hot, hot","Jolokia peppers are rated as the hotest peppers in the world.  This is a newer entry in the extreme hot sauce category and must be used with care.  I once gave a bottle of a slightly less hot Dave's Insanity Sauce to a friend who claimed he liked things hot.  He used it like he would use his normal hot sauce and almost set himself on fire.  This particular sauce should be used a drop at a time in chili or similar foods until you determine your tolerance.  Keep a cold drink nearby, and be careful not to burn a hole through your chair.",5.0
290,Maybe my taste buds are different.,"I just tried this sauce moments ago. Someone had brought some in to work and it was being passed around. I love hot food, so I figured I might as well try it. I have not explored any exotic peppers or sauces - just the usual jalapeno, habanero, cayenne, and other ordinary peppers. I'm no expert and would never claim to be, just to be clear. My initial impression of this sauce was ""yuck"" because it was so bitter and metallic and unpleasant to me. It is hot, yes, but not OMG-I'm-dying hot. Just... hot, and with a flavor-if you can call it that-I would not want on my food. Also, the heat lasted only about five minutes or so, without me even drinking anything.",1.0
291,Good think it made me sick,"Never drink alot of this stuff.  I thought I was going to die.  Good think it made me sick, or I would have been burning the next day or so.",3.0
295,Kick to it,"I will preface this review with a little about myself. I only recently bought a ""hottest sauce"" while at a kind of flea market in England. It was also a ghost pepper sauce and i was shocked at the intensity of the burn. At first I was sort of proud of myself for being able to use it, but it did grow on me and I started using it as an actual condiment.  After the bottle ran out I thought I would see what was on Amazon and this sauce was ranked very highly so I bought it. So I really only have one other sauce to compare this to but here goes:The sauce is very hot. Almost too hot. It has a pasty consistency, almost exactly like tomato paste. Very finely ground. It has a more gummy consistency to it, like theres something added to it to give it a smoother texture though there's no such actual ingredient.What there is, however, as someone else pointed out, is pepper extract. It's the second listed ingredient so there must be a considerable amount. Perhaps it's what's giving this sauce that slimy texture I was eluding to earlier. This Pepper Extract doesn't state what KIND of pepper, and as it's an extract I imagine it must have gone through quite the extraction process.So what I'm getting at is this: the sauce feels more like a pepper extract, something which you should add small amounts of to large dishes for adding pure spice to the food. But it's missing the taste and feel of an actual hot sauce. There's little flavor, just a lot of burn. And I have to say that that's a big shame because the bhut jolokia pepper is very tasty. Almost fruity if I remember correctly.So I give this hot sauce 4 stars for the Effort and the level of spice, but I won't give it 5 stars because I think that goes to the generic bhut jolokia ghost pepper sauces with all the scary names and pictures on the bottle. The one I had was Fear Hot Sauce with a scary ghost woman on it, and it was much more like salsa, with little ground up pieces of ghost peppers and seeds in it and equal to, if not more burn than this one.If I change my mind as I go through this bottle, I'll update or comment on here again.",4.0
296,Better than most super spicy sauces,"I put this in the category of 'super spicy sauces' - but - I don't think it is by any means too spicy.Flavor isn't too bad, a sort of smoky tomato base flavor.  More than anything, the heat comes through.This is pretty good for spicing up soups, chilies, etc.  However, not really all that good for spicing up a sandwich or something, not because it is too hot, just don't care for the flavor that much 'straight up.'All said, this is better than your average 'super spicy' sauce.  Most seem to just have the awful capsaicin extract flavor (and nothing else), which to me is inedible due to the terrible taste, not even the heat.  Dave's really isn't bad, but not my favorite either.",4.0
300,excellent ... combine with other Habanero sauces for best results,this ghost combo sauce hits different areas of the mouth than the red/orange/yellow/chocolate Habanerohighly recommended for a spice lovers aresenalfor best kick results combine with another multi-Habanero saucemade in costa rica,5.0
306,Love Dave's Gourmet Products!,I have been experimenting with different flavors using spices and herbs and other condiments.  I haven't had a lot of experience with different chili peppers so this was a great way to sample the chilies in a variety of forms.  I'd recommend it as a gift for novice cooks who like their food with varying degrees of heat.,5.0
307,Unimpressed,"Omaha Steaks 8 (5.75 oz.) Stuffed Baked Potatoes'''The Stuffed Baked Potatoes were unimpressive andlacking in flavor.I tasted no bacon or chives.However, they do make an attractive addition to ameal.",3.0
308,Mashed Taters,Potatoes were good. Two 12 oz trays will be enough for 4 adults so really not worth the money honestly. $10 for two little trays is a lot even for the ease and quality. Like I said they were good and easy to prepare and thankfully only four of us for x-mas dinner today or I wouldn't have had enough. 24 oz. of potatoes sounds bigger then it is lol. (not Omaha's fault),3.0
312,Tastes good,I will be buying this product again. I used it for pancakes and sausage. Was like heaven for me. Dipped my sausages :),5.0
313,Sugar Free Mapale Flavor Syrup,"Joseph's Sugar Free Maple Flavor Syrup is pretty good stuff for putting on Italian cakes or rolls. Sometimes I eat this at night and develop the worst form of gas anywhere. I can't help myself and have to let it ""out"" constantly, I don't know if something is in here that makes me act up. I was ejected from a concert hall after my stomach couldn't help itself. Just a warning to diabetics or regular sugar eaters, don't try to swallow the whole bottle in one sitting.",3.0
320,Warning!  WARNING!  -ALCOHOL SUGARS!,"Buyer Beware Please! This sweetener is not for everybody.  Maltitol is an alcohol sugar and can be undigestible in the body.  You will know a short time after consuming it if you are one of the unsuspecting many who cannot digest it by the extreme intestinal bloating and cramping and massive amounts of gas a person can experience. Nausea, diarrhea & headaches can also be experienced. I learned my lesson the hard way years ago when I fell in love with the sugar-free chocolates suzanne sommers used to sell.  I thought I'd found sugar-free chocolate nirvana at first taste but the bliss was short lived when the terrible side effects of maltitol kicked in.  The discomfort was unlike anything I had ever felt before.  I blew up like a balloon and had very painful abdominal cramping.  As the symptoms passed, this too was very unpleasant.  Though hard for me to believe a low calorie sweetener could be the culprit, all symptoms were gone when I stopped eating the chocolate. My hunch it had something to do with the maltitol were unfortunately confirmed for me about a year later when I purchased some delicious sugar-free popcorn at my local market.  The taste was amazing and while I was looking at the label wondering what could possibly make this yummy, new sugarfree treat taste so good, my heart sank when I followed the little asterisk next to sugarfree sweetener* down to the very bottom of the label and read ""maltitol"" in tiny little letters! Thank goodness I'd eaten only a little. I still ended up with all the same side-effects but for a much shorter duration. Some people can use maltitol to their heart's content but others, like me, can have a bad reaction to it. In case you're like me, ... it's not you ...it's the maltitol!",1.0
321,Thick and flavorful,I love maple syrup but not the calories. So I stumbled by accident onto this amazing syrup that I love! My diabetic friends will all get a lifetime supply of this stuff!,5.0
325,Misleading Key Words - NO XYLITOL in this!,"I found this item by searching on Xylitol Maple Syrup...so when this turned up I made the mistake of assuming that Xylitol was the sweetener and did not check the description to see that it was solely Maltitol. Xylitol would have been a perfect sweetener, but I have had experiences with Maltitol and did not want to risk the intestinal disturbance, to put it mildly.  So now I am stuck with this item (which I will throw away) because Amazon says that this seller does not take returns.  Actually the postage to send it back would not have made sense, either.  So just make sure you were not looking forward to Xylitol.",3.0
329,Yummy Maple Syrup,"This really is the best sugar-free maple syrup I've found. The ones with sucralose have a weird chemical taste, besides being unhealthy. Maltitol, a sugar alcohol, is the sweetener used in this product. My boys and husband love the maple flavor of this syrup!",5.0
